iter	Logloss
0	0.611123759
1	0.565982064
2	0.5301800736
3	0.5124333298
4	0.4928452263
5	0.4755126881
6	0.4664468538
7	0.4547587848
8	0.4479825497
9	0.4414367244
10	0.4365986557
11	0.4323485973
12	0.4274737552
13	0.4228197984
14	0.4189774052
15	0.4163115142
16	0.4130620422
17	0.4059550492
18	0.4032642725
19	0.4001542588
20	0.3984712675
21	0.3951983021
22	0.3925986199
23	0.3902666629
24	0.3877157134
25	0.3853562665
26	0.3830559124
27	0.3807374914
28	0.3789358782
29	0.373773306
30	0.3715510032
31	0.3698880619
32	0.3680904714
33	0.3668291141
34	0.3658885311
35	0.3648838278
36	0.3635128086
37	0.3617496547
38	0.3601582771
39	0.358515002
40	0.3561686133
41	0.3536923697
42	0.3523640924
43	0.350896289
44	0.3496431955
45	0.3474507082
46	0.346521535
47	0.3450001481
48	0.343334836
49	0.3421061804
50	0.3407859073
51	0.3396754408
52	0.3380208047
53	0.3371434914
54	0.3366230146
55	0.3356191918
56	0.3346913169
57	0.3330135789
58	0.3317906358
59	0.3309885741
60	0.3303918672
61	0.328908823
62	0.3273299391
63	0.3265425198
64	0.3257029508
65	0.3244228756
66	0.3230724033
67	0.3221000931
68	0.3212602419
69	0.3206417088
70	0.3199224137
71	0.3192663696
72	0.3182157522
73	0.3178591791
74	0.3157402311
75	0.3150605695
76	0.3145765726
77	0.3129583675
78	0.3119242929
79	0.3112116511
80	0.3104592441
81	0.3093422561
82	0.3085512279
83	0.3079296993
84	0.3072702307
85	0.306660541
86	0.305900032
87	0.3051430565
88	0.3042817629
89	0.3035513365
90	0.3029913428
91	0.302461571
92	0.3021804792
93	0.3011386713
94	0.3002906089
95	0.2991233227
96	0.2981571314
97	0.29760994
98	0.2963272156
99	0.295031162
100	0.2942765122
101	0.2937130001
102	0.2929152472
103	0.2923354293
104	0.291897211
105	0.2911793761
106	0.2908203683
107	0.2901721665
108	0.2895237164
109	0.2890853476
110	0.2882281596
111	0.2876464226
112	0.2862812137
113	0.2858161567
114	0.2845311292
115	0.2839260795
116	0.2828538729
117	0.2821154573
118	0.281546116
119	0.2811262168
120	0.2806627026
121	0.2800638357
122	0.279650315
123	0.279134068
124	0.278678242
125	0.2783362285
126	0.2777914154
127	0.2772998584
128	0.2762596272
129	0.2753334984
130	0.2748646858
131	0.2742451441
132	0.272843922
133	0.2725286683
134	0.2719715309
135	0.2710435243
136	0.2704310348
137	0.2691665541
138	0.2687729027
139	0.2682795808
140	0.2679212578
141	0.2670275372
142	0.2658606386
143	0.2651330232
144	0.2638522199
145	0.2631413166
146	0.2626768768
147	0.2614668676
148	0.2606066107
149	0.2602156275
150	0.2598387334
151	0.2586290272
152	0.2578055588
153	0.2570619425
154	0.2560491993
155	0.2554689468
156	0.2549068006
