iter	Logloss
157	0.2544319482
158	0.2537668198
159	0.2533059512
160	0.2528053137
161	0.2521046781
162	0.2511106151
163	0.250573142
164	0.249532226
165	0.2488871665
166	0.2483012222
167	0.2477438685
168	0.2468601992
169	0.2455406392
170	0.2450070741
171	0.2442683481
172	0.2434748833
173	0.2424947947
174	0.2417113324
175	0.2408213824
176	0.2395130611
177	0.2390292241
178	0.2383757483
179	0.237617977
180	0.2371702982
181	0.2362437159
182	0.2356259241
183	0.2347949633
184	0.2336907192
185	0.2328789731
186	0.2323272433
187	0.2314437415
188	0.2308721932
189	0.2297523753
190	0.2292826633
191	0.228801532
192	0.2281030302
193	0.2271332658
194	0.2267708128
195	0.225963526
196	0.2251993498
197	0.2248741482
198	0.2241662216
199	0.2236019323
200	0.2230370786
201	0.2225798433
202	0.2218849447
203	0.2214535114
204	0.2208664514
205	0.2202595991
206	0.2197544664
207	0.2191720708
208	0.2185909942
209	0.2177555026
210	0.2171586038
211	0.2163359558
212	0.2157721294
213	0.2153541005
214	0.2149717913
215	0.2144902818
216	0.2138262974
217	0.2132553023
218	0.2127415671
219	0.2122562832
220	0.2118079477
221	0.2113109172
222	0.2102209843
223	0.2095348576
224	0.2090244472
225	0.2086460008
226	0.2081956822
227	0.2075180019
228	0.207198159
229	0.2065157484
230	0.2057015938
231	0.2048699688
232	0.2045096797
233	0.2040382837
234	0.2033365154
235	0.2029355072
236	0.2024321696
237	0.2021638461
238	0.2017241941
239	0.2013767052
240	0.2006047393
241	0.2001609064
242	0.1995078596
243	0.1987103344
244	0.1980948419
245	0.197549137
246	0.1970217567
247	0.1966470979
248	0.1956257465
249	0.1950025828
250	0.1945309704
251	0.1942044499
252	0.1936827293
253	0.1932290088
254	0.1926846341
255	0.1917484577
256	0.19132256
257	0.1910863323
258	0.1904174032
259	0.1899688532
260	0.1890968911
261	0.1886765158
262	0.1879895273
263	0.1875625383
264	0.1869790006
265	0.1866033973
266	0.1863005431
267	0.1858863093
268	0.1853336331
269	0.1850734361
270	0.1845547166
271	0.1840060426
272	0.1835770064
273	0.1831247892
274	0.1825707019
275	0.1821564041
276	0.1817932963
277	0.1811564706
278	0.1808626611
279	0.180609313
280	0.1800218259
281	0.1796210848
282	0.1790163587
283	0.1786463098
284	0.1782501089
285	0.1776751643
286	0.1772643211
287	0.1765540895
288	0.1763015449
289	0.1760202912
290	0.1755970201
291	0.1751653855
292	0.1747455201
293	0.1743330625
294	0.1738646243
295	0.1736068376
296	0.1731581221
297	0.172608001
298	0.1721617899
299	0.1716084062
300	0.1712164182
301	0.1706962123
302	0.1703298833
303	0.1697391768
304	0.1694630579
305	0.1688676531
306	0.16843628
307	0.1680079043
308	0.1675563777
309	0.1672158601
310	0.1666238477
311	0.1662189728
312	0.1658746714
313	0.1656773227
314	0.1651940934
315	0.1649812067
316	0.164705799
317	0.164417544
318	0.1639435401
319	0.163668648
320	0.1632944804
321	0.1629833134
322	0.1627310341
323	0.1624570959
324	0.1621820777
325	0.1617639321
326	0.1614394305
327	0.1609570686
328	0.1604188467
329	0.1598647556
330	0.1595656683
331	0.1592298453
332	0.1588480573
333	0.1584665985
334	0.1581319383
335	0.1578442985
336	0.1575577425
337	0.157155389
338	0.1569280216
339	0.1564234328
340	0.1561129921
341	0.1556573769
342	0.1551858529
343	0.1548346028
344	0.1545693538
345	0.1541799247
346	0.1538202414
347	0.1535256116
348	0.1532903624
349	0.1529227576
350	0.1526066196
351	0.1523577722
352	0.1521585043
353	0.1518017205
354	0.1515263843
355	0.1512390118
356	0.1508495112
357	0.1506537825
358	0.1504424273
359	0.1501945132
360	0.1499020133
361	0.1493444846
362	0.1489972592
363	0.1487585271
364	0.1485236599
365	0.1482648383
366	0.1479063291
367	0.1474746229
368	0.1471206088
369	0.1467920938
370	0.1463830983
371	0.1460975038
372	0.145821287
373	0.1455199438
374	0.1451491818
375	0.1447897713
376	0.1445318943
377	0.1441756242
378	0.1440340283
379	0.1438051407
380	0.1434446125
381	0.1429757303
382	0.1425227511
383	0.1421782446
384	0.1420290905
385	0.1418188849
386	0.1414863283
387	0.1411077766
388	0.1406458129
389	0.1404410658
390	0.1401654211
391	0.1398987439
392	0.1394156972
393	0.1391673597
394	0.1386790032
395	0.1383586222
396	0.1381697669
397	0.1378244269
398	0.1375487069
399	0.1370273419
400	0.1366938689
401	0.1363907928
402	0.136103916
403	0.1355715871
404	0.1350822851
405	0.1348423799
406	0.134575477
407	0.1343665218
408	0.1341411809
409	0.1335660199
410	0.1331567158
411	0.1329397046
412	0.1323735404
413	0.1320625145
414	0.131763766
415	0.1316359479
416	0.1314756869
417	0.1312003818
418	0.1308101841
419	0.1304864256
420	0.1302687089
421	0.1298772364
422	0.1294730624
423	0.1292168967
424	0.1288781684
425	0.1286982958
426	0.1285533102
427	0.1283238186
428	0.1281440353
429	0.1278041471
430	0.1275777083
431	0.1273068343
432	0.1270968894
433	0.1268164899
434	0.1263989671
435	0.1261257195
436	0.1259426048
437	0.1257184474
438	0.1253423258
439	0.1251498663
440	0.124750733
441	0.124543665
442	0.124413606
443	0.1241298244
444	0.1239048232
445	0.1236780626
446	0.1235141551
447	0.1233616395
448	0.1230433358
449	0.122784151
450	0.1226194561
451	0.1222087361
452	0.1220081529
453	0.1217784872
454	0.1214778881
455	0.1212177325
456	0.1205846633
457	0.1203281833
458	0.1201346532
459	0.1199450641
460	0.1198301574
461	0.1196619034
462	0.1194502453
463	0.119211708
464	0.1189663651
465	0.1187553016
466	0.1185374597
467	0.1182913293
468	0.1179699068
469	0.1177041592
470	0.1175619217
471	0.1173827913
472	0.1171343597
473	0.1167703498
474	0.1165560688
475	0.1164561733
476	0.1162250569
477	0.1159494742
478	0.1158008244
479	0.1155888342
480	0.1153252381
481	0.1150942873
482	0.1148843697
483	0.1146822587
484	0.1145571858
485	0.1143841423
486	0.1140848086
487	0.1138563678
488	0.1136547319
489	0.1133008222
490	0.1131247512
491	0.1128959473
492	0.112665275
493	0.1124198031
494	0.1123111414
495	0.1121675699
496	0.1119656075
497	0.1118442056
498	0.1116682711
499	0.1114868423
